case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction,review_reason
tensor(567),0.37213456386763716,0.22860277982391,0.4496402877895813,0.9730174663722415,0.3174200101747735,0.4165467625749444,13.099603378796647,0.9029507637023926,False,low_dice;
tensor(53),0.3891020390594081,0.24154356669213473,0.49631584736064754,0.8972102843303319,0.3199801474807148,0.5510832508462434,28.672246296242584,0.8229883313179016,False,low_dice;
tensor(1113),0.3976847122982898,0.24819379516577145,0.8374760994341551,0.9504825138573688,0.2607530882681835,2.211759082112249,33.01289161520348,0.8059974908828735,False,low_dice;
tensor(635),0.4011103400485645,0.2508680555663937,1.0,0.9485625732621257,0.2508680555663937,2.9861591693779608,25.412354488460906,0.9032248854637146,False,low_dice;
tensor(1198),0.4187995616051911,0.2648617793422094,0.3913724545199256,0.9578750491493631,0.4503605102682978,0.13097963609915675,25.75005424461154,0.8995904922485352,False,low_dice;
tensor(440),0.4269711100421988,0.2714324655903541,0.3515135469124392,0.9632915701281849,0.5436800436862724,0.35345512311046284,13.858432943169,0.8208054304122925,False,low_dice;
tensor(1416),0.42968924659384256,0.27363325740835964,0.9902112313243119,0.8968107350941992,0.2743754461151008,2.6089644512465493,29.188157414108378,0.9008345007896423,False,low_dice;
tensor(989),0.44433362424330713,0.2856226959563132,0.5626776128966632,0.9690425564076779,0.3671199011255229,0.5326807704283966,20.044569118786725,0.8456683158874512,False,low_dice;
tensor(1248),0.451863663546682,0.2918758851597021,0.3465830912754427,0.9725475268143347,0.6490123103399797,0.4659837945232687,17.449059699209982,0.8119131922721863,False,low_dice;
tensor(69),0.4694545646563455,0.30672370373164964,0.30672370373164964,1.0,1.0,0.6932762962683504,37.163552304781696,0.9241111874580383,False,low_dice;
tensor(66),0.4746326587206137,0.31115957833765484,0.34935923598339175,0.9613854014224225,0.7399723374849587,0.5278752754855609,26.44846210424297,0.8961988687515259,False,low_dice;
tensor(34),0.48491069595631686,0.3200542005431571,0.5011271116782,0.6702425301042304,0.4697109050698011,0.06688413291943966,26.06477463678511,0.902995765209198,False,low_dice;
tensor(776),0.5042203806034983,0.3370953675712456,0.34750647839998144,0.9930052340970967,0.9183787561157459,0.6216087577311248,28.412959095203448,0.8720784783363342,False,low_dice;
tensor(956),0.5098678565341525,0.34216284694987714,0.9867153769516203,0.942931310306027,0.3437463843648762,1.870474925211874,23.510098221792948,0.9083846807479858,False,low_dice;
tensor(17),0.5114493799635476,0.3435888394263517,0.36286193092187474,0.985108381324322,0.8661111111125986,0.5810445954725768,26.672237407130627,0.9523909687995911,False,low_dice;
tensor(1341),0.5133385951091116,0.3452962412448128,0.40194462755931154,0.9779424798369473,0.7101470374186906,0.4339980224090804,22.098815946173335,0.8162517547607422,False,low_dice;
tensor(527),0.5173537221530341,0.34893941318595467,0.352847491588911,0.9931307211167413,0.9692351114876571,0.6359526317125126,31.434461004733393,0.8746996521949768,False,low_dice;
tensor(348),0.5218445201158779,0.35303763861195503,0.780694180628895,0.9273877175005151,0.3919036061079065,0.9920566395960619,21.572279358082827,0.8733215928077698,False,low_dice;
