case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(1363),0.7492137289775112,0.5989942057549033,0.8402085569722403,0.9726113121747488,0.6760024676165823,0.24290752951628727,7.425352282652553,0.9008532762527466,False
tensor(186),0.8310969116092929,0.7110058309073006,0.8592190252516263,0.9851445788174403,0.8047573216031245,0.06767469171949979,7.230061584344062,0.9282580614089966,False
tensor(157),0.19450033534878225,0.10772659732955178,0.1337869788412791,0.9506812918092727,0.3561013046913875,0.6243007900315766,32.50583816864327,0.9107685685157776,False
tensor(856),0.6585461689620967,0.49091974224529994,0.5625104883443109,0.9909893095260408,0.7941246150250149,0.29165967443712604,10.577489744939562,0.935969889163971,False
tensor(19),0.5465898376122649,0.37607404417456874,0.4788882361599395,0.9009366185941395,0.6365854848961072,0.24772360111526023,29.21098740823456,0.9281235933303833,False
tensor(345),0.9818642190220258,0.9643745336981958,0.9892219387755445,0.9886261261261421,0.9746151429469851,0.014987244897911393,1.8178891409131341,0.9523998498916626,False
tensor(896),0.9700934579439635,0.9419237749547723,0.9611598761987895,0.9872185703852097,0.9791946655639946,0.018417981632709884,3.692335387850612,0.9494228959083557,False
tensor(38),0.2474857892468409,0.14121756487454482,0.17120387175335022,0.9591242575987433,0.44637223975636636,0.6164549304257927,26.095310867128138,0.8960348963737488,False
tensor(310),0.7268924463046944,0.5709591810971126,0.7014983308772494,0.9671019560093755,0.7541941407248628,0.06987035168022769,14.404121783843047,0.8952199816703796,False
tensor(557),0.8440167848368976,0.7301289272783812,0.7495502441563923,0.9978122555961891,0.9657284768217594,0.22384991004595414,6.396410848808934,0.9379798769950867,False
tensor(212),0.8940120371325716,0.8083379450321281,0.9774704438996772,0.990420458143131,0.82368421052963,0.18670533124722943,3.6235421004517656,0.947148859500885,False
tensor(283),0.9577564545777201,0.918937285612844,0.9428267870781141,0.9891672777078497,0.9731665524332653,0.03117633387552317,5.109783572968643,0.9356884956359863,False
tensor(696),0.902501904259968,0.8223266243135854,0.9378919807590702,0.9731556113844713,0.8696855061833342,0.07842659684540933,9.82252654529501,0.926818311214447,False
tensor(562),0.9238251068085586,0.8584339893575081,0.8665771354269434,0.9919803925102417,0.9891719590237994,0.12393681652464467,16.81798574675662,0.9370287656784058,False
tensor(28),0.36561239919554683,0.22369993446966693,0.472942135293619,0.8483190946412423,0.2979870596729075,0.587123064379893,28.608789960330274,0.9020084738731384,False
tensor(1436),0.5785800240775312,0.40704368440883704,0.4336219336423658,0.9981832416589732,0.869125090392688,0.5010822510641746,13.550958994526498,0.9164749383926392,False
tensor(1341),0.5133385951091116,0.3452962412448128,0.40194462755931154,0.9779424798369473,0.7101470374186906,0.4339980224090804,22.098815946173335,0.8162517547607422,False
tensor(1383),0.869133574010173,0.7685554668887249,0.9363150218796154,0.9955253480561718,0.8109473684290128,0.1545940690250562,16.856008043332828,0.9302201867103577,False
tensor(1088),0.9065071054600978,0.8290013679894334,0.8434427333546369,0.9865869257095679,0.9797642641076986,0.13913707179064533,9.605812518407735,0.9328240752220154,False
tensor(218),0.9210910005028644,0.853724457699728,0.8835756830406242,0.9762025898147475,0.9619332650758396,0.08145843883363124,11.477861558061925,0.9355916380882263,False
tensor(707),0.6709673278141377,0.5048539000265402,0.9895862917732691,0.8895652079228529,0.5075503763073195,0.9497301902778592,19.44174182523877,0.93623948097229,False
