case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(652),0.49479884697963655,0.32872606162649914,0.34110938311143757,0.9963514033707738,0.9005474452600116,0.6212199757971104,15.540828205217943,0.8223846554756165,False
tensor(1363),0.8075757575778401,0.6772554002599881,0.8938667944443252,0.9782438642808607,0.7364784840162558,0.21370388116402245,5.218048893998656,0.811330258846283,False
tensor(186),0.8516917887651344,0.7416926748716414,0.9266055045888393,0.9822315940892143,0.7879851765206166,0.17591743118862574,4.389070791136386,0.8649572134017944,False
tensor(157),0.3269109683961282,0.195393647454498,0.23374752386787548,0.9599485577807093,0.5435510887867766,0.5699621825988658,22.853767550024152,0.8301254510879517,False
tensor(856),0.7004797806757987,0.539029535874704,0.6674503657349151,0.9852207169248959,0.7369483703565922,0.09430512016472557,10.855929375721189,0.8081392645835876,False
tensor(19),0.5494917595988372,0.37882705130231403,0.47851495359528756,0.9044756873676126,0.645191193513749,0.2583361980047076,25.099469770635118,0.9059455394744873,False
tensor(345),0.9732709004000262,0.9479334916867082,0.9938240860643798,0.9786176250605424,0.9535506069007286,0.04223528239843492,3.2716982481714134,0.9334784150123596,False
tensor(896),0.9760716266540368,0.9532616265574818,0.9756078245031456,0.9853036095526903,0.9765358699961295,0.0009503444998774438,2.368391423908873,0.931344747543335,False
tensor(38),0.20881735479909852,0.11658071574373667,0.14111415871426167,0.9595182213489811,0.4013989776862686,0.648444150187757,26.307312859108578,0.8660377860069275,False
tensor(310),0.8076286433982899,0.6773297923747303,0.6807813637505364,0.9992669389464878,0.9925703166461601,0.3141227857278073,8.498188925389822,0.8474984169006348,False
tensor(557),0.7886450381704597,0.6510437180060842,0.6647898652792119,0.9982662681835472,0.9692172383474283,0.31409611903651524,8.047928239752764,0.862804114818573,False
tensor(212),0.8944295407938389,0.8090208392860685,0.9881450488149183,0.9898672368673168,0.8169501297256573,0.209553695948063,3.490586749274681,0.8869418501853943,False
tensor(283),0.9712977178693921,0.944197106142142,0.9671952736320109,0.9898356401384303,0.9754351121100955,0.008447346600287897,1.995594160320974,0.9208714365959167,False
tensor(696),0.9415295165755074,0.8895189155675599,0.9545540977376444,0.986022756188909,0.9288555833108627,0.027666856816622294,3.4471220204485538,0.9059469103813171,False
tensor(562),0.9426296625377748,0.8914848744483903,0.9005359342235594,0.9914072404564265,0.9888515242342684,0.08931127459109446,14.301206079262496,0.918571412563324,False
tensor(28),0.3566338293892442,0.21701422103681514,0.43394542209342074,0.8641279855793252,0.30270414517610117,0.43356286661013055,23.42763017360518,0.883378803730011,False
tensor(1436),0.5913949027242698,0.4198443579992279,0.6092603049345421,0.9874696149925705,0.5745473908639751,0.060417843023127166,9.643829135470948,0.7732185125350952,False
tensor(1341),0.5448241703851343,0.37440435671233935,0.42575151594083666,0.9816042225491363,0.7563603025497052,0.43710488968601335,22.284654670915863,0.7396451234817505,False
tensor(1383),0.6418527708949034,0.4725943970981489,0.8831562974291991,0.9821701080694164,0.5041143352315239,0.7518968132965177,25.394513336953793,0.7911374568939209,False
tensor(1088),0.8901589500829578,0.8020598536609146,0.8116862607481604,0.9907669879323162,0.9854288270632464,0.17631163361931457,8.889935045067821,0.8996973633766174,False
tensor(218),0.9365203313971308,0.8806189333433124,0.9262356841473545,0.9647363561757162,0.9470359385233734,0.02196353224825963,7.696499742438549,0.9060077667236328,False
tensor(707),0.3883252258555363,0.2409451535077531,0.4133136094761344,0.9177215189874818,0.36618610747881797,0.1286982248501672,13.360334391186907,0.8064715266227722,False
tensor(1416),0.37350672917455385,0.22963927111166194,0.9927652733121879,0.868861819566253,0.23002421308223106,3.31591639858055,23.39283808708044,0.8532173037528992,False
tensor(194),0.9695556617296329,0.94091027115271,0.990472471690783,0.9662124931123423,0.9495040239567677,0.04314720812165893,2.5032568871932774,0.93056321144104,False
tensor(235),0.8780188794907563,0.7825611888135646,0.9144535240051781,0.9771246360737954,0.8443763263399625,0.08299284984572276,6.764960140922589,0.843946635723114,False
tensor(399),0.8276531074188214,0.7059796999149826,0.7425156648904325,0.9921641659931969,0.9348429510601192,0.2057321884404069,10.462391055404277,0.8282672166824341,False
tensor(336),0.8903559773438975,0.8023798255709392,0.893540129499371,0.9711218279940844,0.8871944382156897,0.00715253726842981,7.823044139208552,0.8742995858192444,False
