case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction,review_reason
tensor(157),0.3269109683961282,0.195393647454498,0.23374752386787548,0.9599485577807093,0.5435510887867766,0.5699621825988658,22.853767550024152,0.8301254510879517,False,low_dice;
tensor(776),0.33381408155674697,0.20034623859615716,0.2101006766858384,0.9889550338837303,0.8118622449039584,0.7412114210204553,28.250670662389425,0.8094390034675598,False,low_dice;
tensor(956),0.3382521869811942,0.20355205786234656,0.9968750000001627,0.8823723591551145,0.2036820261870418,3.8942708331305065,28.067015593537924,0.8469892740249634,False,low_dice;
tensor(685),0.3457920162891993,0.20903781127546764,0.8740359897334143,0.9617807838414377,0.21553090335291503,3.0552699224864694,14.5890117832815,0.822094202041626,False,low_dice;
tensor(23),0.3516746411516971,0.21335268505576224,0.5225656877971783,0.8412453865170466,0.2650101896906646,0.9718701700004347,30.386801451014655,0.8633761405944824,False,low_dice;
tensor(28),0.3566338293892442,0.21701422103681514,0.43394542209342074,0.8641279855793252,0.30270414517610117,0.43356286661013055,23.42763017360518,0.883378803730011,False,low_dice;
tensor(1416),0.37350672917455385,0.22963927111166194,0.9927652733121879,0.868861819566253,0.23002421308223106,3.31591639858055,23.39283808708044,0.8532173037528992,False,low_dice;
tensor(81),0.38252866139355585,0.23649795348162622,0.23653730946137078,0.9998591152437311,0.99929696287965,0.7632962790362667,42.463029341916766,0.913557767868042,False,low_dice;
tensor(128),0.3861579167289642,0.23927862629010888,0.2719427282605478,0.97484594951124,0.6657863145338346,0.5915465332883049,20.988653433115147,0.7698789834976196,False,low_dice;
tensor(707),0.3883252258555363,0.2409451535077531,0.4133136094761344,0.9177215189874818,0.36618610747881797,0.1286982248501672,13.360334391186907,0.8064715266227722,False,low_dice;
tensor(1274),0.3931392462266628,0.24466292135892329,0.7939835916228815,0.922231694610334,0.2612477504609891,2.039197812122188,19.60240311122641,0.8207156658172607,False,low_dice;
tensor(942),0.3939393939440552,0.2452830188751529,0.8593959731590807,0.8807308651450209,0.25553781681046156,2.3630872482428495,22.597357144328726,0.8168736696243286,False,low_dice;
tensor(1267),0.40772750382044065,0.2560664112507014,0.9703569268015513,0.9278211730821536,0.2580852775662416,2.7598306108433253,27.16386664875726,0.8283064961433411,False,low_dice;
tensor(66),0.42328042328300924,0.2684563758430869,0.30080938117837736,0.9620623934196769,0.7139615791905315,0.5786756739495336,22.008315091000835,0.8214653134346008,False,low_dice;
tensor(1404),0.4293344289353054,0.27334554017072077,0.9569597069636484,0.9576221215319384,0.27674788137508616,2.4578754576503776,14.127582084870015,0.7808113694190979,False,low_dice;
tensor(989),0.44140969163815846,0.28321085360310516,0.7378497790997619,0.9485031260335619,0.31489629165483146,1.3431516936012198,20.389193214525868,0.7923473715782166,False,low_dice;
tensor(941),0.44968699281561736,0.2900620653608759,0.690090731192135,0.8706167070018015,0.3335052875992304,1.0692047678158831,22.170222950626933,0.788442850112915,False,low_dice;
tensor(53),0.4502171215923525,0.2905033523537425,0.4993979012644177,0.9300102138205883,0.4098545814003974,0.21847583003236754,22.534530492674392,0.7841896414756775,False,low_dice;
tensor(937),0.4560619992190193,0.2953888038234578,0.29639747312111325,0.9996648737411825,0.9886104783605575,0.7001878094468126,15.73013995740028,0.7297901511192322,False,low_dice;
tensor(620),0.4576192682048347,0.2966966967389371,0.5563063063562719,0.9879810666996844,0.3886703383643847,0.4313063062577358,7.671361319337013,0.6571657657623291,False,low_dice;
tensor(1198),0.4660967715207395,0.30386321827395446,0.5302114803714084,0.9345119521913438,0.41581519325609634,0.2751132930461648,16.18001112917775,0.8102051019668579,False,low_dice;
tensor(34),0.47540816949052433,0.3118265229934071,0.4841795742587419,0.6775549649681625,0.46694891560703383,0.036900521825408344,21.051581540184426,0.8578433394432068,False,low_dice;
tensor(69),0.47737333989392783,0.3135196252661739,0.3135196252661739,1.0,1.0,0.6864803747338261,29.175480730280025,0.8783740997314453,False,low_dice;
tensor(527),0.4841343980729723,0.31937818066428364,0.3223773978677166,0.9942390073366629,0.9716946897305951,0.6682318003023187,24.241532857954866,0.8266203999519348,False,low_dice;
tensor(775),0.4925288748909921,0.3267252464673879,0.32836142372877947,0.9980198019802022,0.9849781941530451,0.6666307683987581,25.717741711547315,0.7750418782234192,False,low_dice;
